Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2021-01-16;0;26.9;20.6;18.1;84.7;14.5;4.2;
2021-01-17;23.8;25.4;20.4;17.6;92.6;11;2.7;
2021-01-18;27.2;23.1;19.8;18.1;88.3;9.4;2.7;
2021-01-19;1.6;20.2;17.3;14.7;91.3;11.1;4.7;
2021-01-20;28.4;22.2;18;16;93.2;12.2;5.5;
2021-01-21;4.6;20.5;18.4;17.3;93.4;11.2;4.9;
2021-01-22;14.2;19.5;17.5;16.5;95.3;13.8;4.6;
2021-01-23;28.8;25.2;19.2;16.7;88.8;10.3;3.7;
2021-01-24;.6;25.2;19.8;16.4;86.9;10.5;2.6;
2021-01-25;33;23.2;19.3;17.4;92.3;7.4;2;
2021-01-26;10.4;25.1;20.1;17.6;88.5;10.6;3.1;
2021-01-27;10.2;25.4;21.3;18.7;82.8;13.2;3.9;
2021-01-28;0;25.8;20.9;18.8;88.7;9.5;2.5;
2021-01-29;11.4;24.2;20.3;18.6;93.1;9;2.4;
2021-01-30;37.4;26.3;21;17.7;83.9;10.5;2.1;
2021-01-31;14;24.2;19.6;15.7;87.3;14.7;2.1;
2021-02-01;.4;24.4;20.5;17.8;86.7;6.5;1.9;
2021-02-02;.2;28.5;21.8;15.8;82.3;9.6;2.2;
2021-02-03;3.6;27.6;22.9;18.3;83.3;7.9;2.7;
2021-02-04;0;22.7;20.3;20.5;87;13.2;2.6;
2021-02-05;5.6;22.2;16.6;12;78.6;11.4;2.2;
2021-02-06;0;23.3;16.8;10.9;72.1;8.7;2.2;
2021-02-07;0;26.6;19.2;12;64.8;7.7;2.9;
2021-02-08;0;26.7;19.5;12.1;66.6;7.2;3;
2021-02-09;null;null;null;null;null;9.5;null;
2021-02-10;null;null;null;null;null;10.4;null;
2021-02-11;null;null;null;null;71.7;10.7;null;
2021-02-12;null;null;null;null;76.9;9;null;
2021-02-13;5.6;25.1;19.2;14.5;82.9;7.8;2.2;
2021-02-14;0;26.2;20.5;15.8;77.1;10.1;2.5;
2021-02-15;0;24.4;18.5;15.2;82.1;11.2;2.1;
2021-02-16;1.8;24.4;18.7;15;82.1;10;2;
2021-02-17;.2;24.7;19.3;14;69.8;8.8;1.9;
2021-02-18;0;24;18.3;13.3;62.4;8.4;2;
2021-02-19;0;25.6;19.6;13.8;66.8;7.3;1.5;
2021-02-20;0;27.4;20.4;14.2;69.8;8.1;3;
2021-02-21;0;28.9;21.3;15.7;72.2;9.5;3.8;
2021-02-22;0;29.5;21.4;15.2;72.5;11.1;3.7;
2021-02-23;.4;29;22;16.6;68.8;13.1;2.5;
2021-02-24;0;25.8;20.3;17;86.1;8.5;2.3;
2021-02-25;2.8;26.6;20.2;16.1;83;11.8;3.8;
2021-02-26;0;25.4;19.5;15.5;77;12.3;4.9;
2021-02-27;.2;27.7;19.5;14.4;79.2;19.2;4.9;
2021-02-28;0;24.8;17.9;12.5;84.3;12.1;4.5;
2021-03-01;0;27;null;17;80.4;13.8;4.4;
2021-03-02;null;null;null;null;null;11.5;null;
2021-03-03;null;null;null;null;null;5.8;null;
2021-03-04;null;null;null;null;90.2;5.7;null;
2021-03-05;null;22.9;null;16.8;90.7;11.3;2.4;
2021-03-06;2.2;24.9;19.4;15.7;80.2;9.1;1.6;
2021-03-07;null;null;null;null;63;7;null;
2021-03-08;0;27.2;21.2;16.3;71.9;11;3.2;
2021-03-09;0;25.1;19.4;13.9;74.8;10.8;2.6;
2021-03-10;0;23.4;17.3;11.5;71.6;7.3;2.2;
2021-03-11;0;25.8;17.6;9.9;68.4;7.9;2.7;
2021-03-12;0;27.3;19.6;10.6;64.1;7.9;2.5;
2021-03-13;0;28.9;21.7;13;67.7;8.4;3.1;
2021-03-14;0;30;22.8;16.7;70.8;8.4;3;
2021-03-15;0;29.7;21.8;15.3;70.5;8.4;3;
2021-03-16;0;31.1;23.1;17.8;72.7;9;3.3;
2021-03-17;5.8;25.2;21.1;18.4;83.1;10.5;3.6;
2021-03-18;2.2;26.3;20.2;16.5;78.4;8.4;1.7;
2021-03-19;0;27.4;20;15.5;76.8;9.6;4.1;
2021-03-20;0;28.7;21.9;17.3;73.5;11.4;4.4;
2021-03-21;0;26.8;21.8;18.4;82.1;8.4;2.7;
2021-03-22;0;28.1;21.6;17.8;83.7;6.7;2.1;
2021-03-23;.2;28.1;21.1;18.5;85.2;12.1;3;
2021-03-24;29;27.9;20.9;16.5;83.9;12.1;2.1;
2021-03-25;0;29.3;22.1;15.7;75.5;8.5;2.7;
2021-03-26;.4;23.6;19.6;17.1;89;6.9;2.3;
2021-03-27;null;22.7;null;16.2;89.7;12.3;2.3;
2021-03-28;null;null;null;null;null;10.1;null;
2021-03-29;null;null;null;null;null;7.7;null;
2021-03-30;null;null;null;null;null;6.7;null;
2021-03-31;null;null;null;null;63.4;8.4;null;
2021-04-01;null;null;null;null;60.2;8.4;null;
2021-04-02;0;24.1;17.2;11.9;69.7;8.8;3;
2021-04-03;0;25.7;17.5;10.8;72.4;8;3;
2021-04-04;0;25.1;18;12.8;73.1;9.6;4;
2021-04-05;0;24.9;17.8;12.1;75;10.3;4;
2021-04-06;0;24.8;17.8;13.6;78;7.4;3.4;
2021-04-07;0;24.6;17.8;14.3;77.2;11.4;5.2;
2021-04-08;0;26.2;19;14.4;73.2;14.7;5.9;
2021-04-09;0;27.9;20.4;14.5;69.3;11.1;3.8;
2021-04-10;0;28.5;21.3;15.5;63.5;8.4;2.5;
2021-04-11;0;28.8;21.8;15.2;56.6;10.6;3;
2021-04-12;.4;23.4;18.2;14.7;77.9;7.5;2.8;
2021-04-13;0;25.8;17.3;11.1;73.6;9.5;3.5;
2021-04-14;0;23.3;17.2;12.8;74;11.8;4.3;
2021-04-15;0;24.3;17.2;11.6;73.5;10.5;3.4;
2021-04-16;0;23.1;16.7;12.4;80.7;8.4;2.8;
2021-04-17;17;20;16.7;14.7;91;8.4;2.9;
2021-04-18;.2;24.2;16.2;10.3;80.2;8.2;3.3;
2021-04-19;.2;24.2;17;11.1;77.6;9.5;3;
2021-04-20;0;24.2;17;11.3;73.3;7.8;3.1;
2021-04-21;0;23.4;16.3;11;76.3;11;4.4;
2021-04-22;0;22.5;16.1;12;72.3;11.2;4.6;
2021-04-23;0;23.2;15.6;9.2;67.6;8;3.3;
2021-04-24;0;23.1;14.9;8.8;78.7;9.7;2.9;
2021-04-25;0;17.2;15.2;13.3;86.4;8.9;2.1;
2021-04-26;0;18.5;14.1;11;75;8.4;1.9;
2021-04-27;0;19.4;12.7;6.7;66;6.6;2.6;
2021-04-28;0;20;12.5;5.7;56.2;7.4;2.7;
2021-04-29;0;21.8;13.1;4.6;63;12.9;4.3;
2021-04-30;0;21.3;14.6;10.3;70.6;12.1;5.2;
2021-05-01;0;21.7;14.9;10.2;73.1;10.4;4.4;
2021-05-02;0;22.5;16;12.2;87.3;9.6;3.2;
2021-05-03;7.4;26.7;17.8;12.3;80.1;5.5;2.6;
2021-05-04;0;26.9;20.2;11.8;62.9;8.1;2.7;
2021-05-05;0;24.4;18.7;13.2;74.5;9.7;2.1;
2021-05-06;14.8;16.2;12.6;12.2;96.8;11.7;3;
2021-05-07;19.8;15.6;9.7;6.1;78.5;8.4;2.8;
2021-05-08;0;18.4;10.7;4.4;79.3;11.1;4.3;
2021-05-09;0;20;13.3;8.6;77.8;11.8;4.3;
2021-05-10;0;22.5;15.5;10.2;75.1;7.5;3;
2021-05-11;0;18.9;14.5;13.4;88.6;7.9;2;
2021-05-12;22;17;12.5;10.9;89;6.8;2.7;
2021-05-13;0;19.7;12.1;5.9;75.3;7.5;3.6;
2021-05-14;.2;19.6;11.8;5.6;81.7;9.8;2.7;
2021-05-15;.2;19.5;12.4;6.4;80.5;7;2.7;
2021-05-16;0;20.7;13.5;7.6;78.4;7;2.6;
2021-05-17;0;18.1;13.9;11.2;76;8.5;1.9;
2021-05-18;0;17.8;12.6;4.4;69;6.2;1.4;
2021-05-19;0;20.6;13.1;4.3;58;7.7;2.3;
2021-05-20;0;23.8;16.4;7.7;44.8;6.4;1.8;
2021-05-21;0;25.1;16.8;9.8;70.8;12.5;3.3;
2021-05-22;29.2;21.5;15.9;13.1;86.4;15;3;
2021-05-23;1;14.1;10.2;6.4;74.5;20.4;5.2;
2021-05-24;0;11.8;7.3;5.3;78.3;11.9;4;
2021-05-25;0;16.8;9.4;1.4;58.5;6.7;1.7;
2021-05-26;0;21.2;13.2;2.9;43.6;5.1;1.9;
2021-05-27;0;21.2;15.7;7.7;50.2;6.3;1.7;
2021-05-28;0;23.4;18.6;14.3;70.6;15.6;4.6;
2021-05-29;71.4;21;16.6;14.4;89.7;34.2;3.1;
2021-05-30;.2;16.8;12;6.3;74.3;6.2;1.9;
2021-05-31;0;18.5;10.4;2;78.5;5.7;2.4;
2021-06-01;0;19.9;12.5;3;67.8;5.7;2;
2021-06-02;0;18.7;14.2;7.6;87.7;9.6;2.5;
2021-06-03;11.4;20.7;16;14;86.5;5.8;1.8;
2021-06-04;0;24;16.8;10.5;81.6;7.3;3.7;
2021-06-05;0;25.3;18.8;11;75.3;11.3;4.1;
2021-06-06;0;19.6;14.1;11.9;90.2;12.9;2.3;
2021-06-07;10.8;18;13.6;12;91.1;10.9;5.6;
2021-06-08;10.4;13.5;12.5;11.9;93.5;12.8;5.4;
2021-06-09;34;19.1;14.2;11.3;88.9;10.4;3.9;
2021-06-10;0;16.7;14;12.6;90.3;10.3;3.8;
2021-06-11;.4;16.3;12.2;10;84.4;9.5;2;
2021-06-12;.2;14.8;9.4;5;72;8.2;1.7;
2021-06-13;0;19.8;10.7;2.3;69.5;7.1;3.3;
2021-06-14;0;20.1;11.9;4.7;70.7;7.7;2.8;
2021-06-15;0;17.7;12.8;5.6;73.3;7.4;2.3;
2021-06-16;0;13.5;9.3;6.9;84.8;9.1;3.4;
2021-06-17;0;13.5;8.4;5.6;83.9;7.2;2.4;
2021-06-18;0;17.3;11.3;6.9;84.8;8.4;3.3;
2021-06-19;11;11.2;10.2;9;96.3;11;4.7;
2021-06-20;26.4;12.3;10.6;9.1;95.7;5.2;1.5;
2021-06-21;.4;14.5;10;6.9;91.9;10.8;3.8;
2021-06-22;1.4;16.7;12.2;9.3;88.1;7.9;3.8;
2021-06-23;0;16.8;12.1;9.1;83.1;14.9;6.4;
2021-06-24;0;17.4;13.5;11;87.1;17.1;6.2;
2021-06-25;20.2;20.9;14;9.8;82.5;9.6;2;
2021-06-26;0;21.3;16.9;12;85;15.3;5.8;
2021-06-27;3.2;19.4;12.6;12.4;91.5;16.8;3.1;
2021-06-28;36;7;3.6;3;92.2;7.4;2.2;
2021-06-29;0;5.3;1.3;-1.2;83.3;12.1;4.3;
2021-06-30;0;9.6;3.5;-.5;84.7;9.3;2.5;
2021-07-01;0;14.3;7.7;1.3;81.9;13.2;5.1;
2021-07-02;.2;18.1;10.6;5.2;68.7;8.4;3.3;
2021-07-03;0;15.4;10.2;2.8;69.5;6.3;1.5;
2021-07-04;0;16.4;8.3;2.8;87.3;10;4.4;
2021-07-05;.2;19;11.3;5.3;81.6;7;2.6;
2021-07-06;.2;15.4;9.5;6.9;91.2;9.1;4.5;
2021-07-07;0;16.3;11.3;7.9;80.7;10.6;4.2;
2021-07-08;0;17.5;10.1;3.9;79.5;7.7;2.7;
2021-07-09;0;17.1;11.1;4.7;78.4;10.3;3.9;
2021-07-10;.2;20.4;12.7;7.4;73.3;7.4;2.7;
2021-07-11;0;21.2;13.8;3.9;59.2;7.2;2.9;
2021-07-12;0;21.5;13.1;5;69.5;10.9;4.3;
2021-07-13;0;23.5;17.4;9.3;60.4;9.4;3.6;
2021-07-14;0;22.2;17.1;12.1;61.8;11.6;2.7;
2021-07-15;0;18.1;14.7;13.2;81.6;7.7;2.5;
2021-07-16;17.6;16;11.5;8.4;90.8;9.1;3;
2021-07-17;0;15.7;11.4;8.9;85.6;11.5;3.2;
2021-07-18;0;9.9;5.2;.8;67.8;15.2;4.7;
2021-07-19;0;9.9;3.6;-1;70.1;10.4;3.7;
2021-07-20;0;16.4;7.2;-2.2;63.9;7.5;1.9;
2021-07-21;0;21.1;12.1;3;43.3;5;2;
2021-07-22;0;22.8;13.2;5.1;53.8;6.7;3.4;
2021-07-23;0;25.1;14;4.9;52.9;7.4;3.5;
2021-07-24;0;24.1;14.6;6.4;58.4;9.1;3;
2021-07-25;0;25.4;18.1;11.4;57;10.6;3.4;
2021-07-26;0;26.4;20.1;15.6;54.3;11.4;3.7;
2021-07-27;28.6;21.3;11.7;11.4;81.4;16.4;3.2;
2021-07-28;4.8;6.2;1.3;-2.9;71.8;13.5;3.8;
2021-07-29;0;6.4;1.2;-3.5;73.6;11.4;2.5;
2021-07-30;0;13;4.5;-2.4;64.2;8.8;3;
2021-07-31;0;16.1;7.9;1.6;65.3;11.8;5.1;
2021-08-01;0;17;10.5;5.6;73.8;8.1;3.4;
2021-08-02;0;17.2;9.8;3.9;77.4;6.6;2.4;
2021-08-03;0;16.3;9.6;3.7;72.3;8.6;3.4;
2021-08-04;0;16.1;10.3;5;79.3;12.3;5.8;
2021-08-05;0;17.2;12.4;8.7;78.8;14.5;6;
2021-08-06;0;19.3;12.8;8.1;79.8;12.4;5.6;
2021-08-07;0;21.7;15.1;10.8;80.1;11.9;5.2;
2021-08-08;0;23.8;16.8;12.3;73.2;9.3;3.7;
2021-08-09;0;25.7;19;13.2;60.2;9.2;3.2;
2021-08-10;0;20.4;16.5;12.9;75.7;10.6;1.8;
2021-08-11;13;14.5;11.1;9.6;83.3;7;2.9;
2021-08-12;0;12.4;8.6;5.9;89.5;9.5;4.7;
2021-08-13;3.8;12.3;9;6;90.1;15.1;6.4;
2021-08-14;0;16.2;12.4;7.8;86.8;9.9;3.7;
2021-08-15;0;20.5;14.8;10.8;84;6.6;2.8;
2021-08-16;0;23.7;16.4;11.4;83.5;6.9;3.1;
2021-08-17;.2;28;19.1;11.8;72.9;8;2.5;
2021-08-18;0;29.8;23.2;16.1;51;10.7;3.6;
2021-08-19;0;29.1;20.7;13.3;65.9;14.1;4.6;
2021-08-20;0;28.5;23;19.4;44.3;11.4;4.1;
2021-08-21;0;25.2;18.1;13.2;64.8;13.7;5.6;
2021-08-22;0;28.2;20.4;14.4;52.4;11.2;4.1;
2021-08-23;0;28.8;22.7;19.1;40.4;10.5;3.3;
2021-08-24;0;28.4;22.8;20.5;47.7;16;4.8;
2021-08-25;7.2;25.3;20.4;15.7;64.9;15.3;3.9;
2021-08-26;11.4;23.7;13.7;11.7;92.4;11;2.9;
2021-08-27;.8;15.3;11.1;8;89;7.7;3.2;
2021-08-28;.2;16.4;12.5;8.6;84.7;15.9;6.8;
2021-08-29;0;19;13.3;10;86;11.5;4.8;
2021-08-30;0;20.6;14.4;10.7;79.6;11.3;5.3;
2021-08-31;0;22.4;15.5;10.6;74.9;11.9;5.3;
2021-09-01;0;25;16.1;10.2;71;12.4;4.6;
2021-09-02;0;26;17.9;10.9;67.6;10.8;3.1;
2021-09-03;0;24.8;19.9;14.7;55.6;10.7;2.3;
2021-09-04;0;26.8;17.6;12;78.4;12.4;2.9;
2021-09-05;32.4;22.9;17.3;13.1;82.2;12.3;2.6;
2021-09-06;0;24.2;16.5;9.8;83.7;11;3.7;
2021-09-07;5.2;20;15.5;12.1;85.8;16.8;7.9;
2021-09-08;2.2;17.6;16;14.1;91;16;5;
2021-09-09;33.2;18.4;14.2;9.5;75.8;9.9;3.6;
2021-09-10;0;17.4;11.6;8.3;75.9;9;3;
2021-09-11;0;21.9;14.2;6.5;65.4;6.5;1.8;
2021-09-12;0;28.7;18.3;10;74;7.2;3.4;
2021-09-13;0;30.3;23.3;14.6;62.1;13.3;4.1;
2021-09-14;71.4;25.5;16.5;13.3;89.8;19.2;3.1;
2021-09-15;6.2;16.8;14.7;13.2;93.3;5.8;2;
2021-09-16;.8;14.8;13.2;12;95;10;4.4;
2021-09-17;22.4;13.4;12;11.5;96;16.8;5.7;
2021-09-18;33.4;25.6;17.8;11.2;85.2;10.5;3;
2021-09-19;0;30.9;21;16.1;84.9;11.7;3.6;
2021-09-20;0;30.8;22.4;16;73.8;12;3.5;
2021-09-21;2.2;25.6;17.2;16.6;86.8;11.4;3.3;
2021-09-22;.6;17.1;10.7;4.9;76.3;19;6.6;
2021-09-23;0;20.1;12.9;8.1;75.8;12.5;5.6;
2021-09-24;1.2;20.4;14.7;11.1;82.2;9.7;2.9;
2021-09-25;0;23.2;16.2;9.4;78.8;8.3;3.2;
2021-09-26;0;26.5;19;13.6;71.3;9.5;3.6;
2021-09-27;0;28.8;20.9;14.3;72.7;9;3.7;
2021-09-28;0;28;20.6;15.9;78.7;9.2;3;
2021-09-29;10.6;23;17.8;14.4;85.9;16.2;3.5;
2021-09-30;0;18.5;15.8;14.4;86;13;6.9;
2021-10-01;25.8;20.8;17.5;14.4;86.2;13.5;3.4;
2021-10-02;0;23.2;17.6;14.5;87.6;8.2;2.8;
2021-10-03;4.8;17.2;15.8;14.8;93.3;15.4;3.1;
2021-10-04;14;20.5;15.5;14.3;88.9;10.1;2.2;
2021-10-05;.4;23.8;15.2;8.4;74.1;8.9;2.6;
2021-10-06;0;19.4;15.8;13.3;92.6;8.9;3.4;
2021-10-07;18.2;23.2;16.8;11;70.7;9.9;3.3;
2021-10-08;0;17.3;14.1;11.8;87.3;12.6;5.5;
2021-10-09;17.4;16.5;13.6;12.2;94.3;11.9;4.7;
2021-10-10;2.6;20.7;15.4;12.5;84.1;13.2;6.5;
2021-10-11;0;22.7;16;12.8;80.8;12.9;6;
2021-10-12;3.4;24.3;18;13.7;76.7;9;3.2;
2021-10-13;0;26.4;19.3;15.3;71.3;12.3;5.4;
2021-10-14;10.8;27.3;20.6;15.8;73.5;23.8;4.5;
2021-10-15;39.8;22.7;16.5;15.3;93.1;15.4;3.8;
2021-10-16;28.8;20.1;15.4;12.7;88.5;11.5;3.1;
2021-10-17;0;18.1;14.5;13;90.9;11.1;4.4;
2021-10-18;7.6;18.9;13.8;10.9;85.3;10.6;4.3;
2021-10-19;0;21.6;15;11.6;75.7;9.7;3.7;
2021-10-20;0;21.8;14;6.9;67.9;12.4;4.5;
2021-10-21;0;22.5;15.4;10.6;65.7;10.9;4.2;
2021-10-22;0;24.9;17.2;8.1;61.2;7.3;2.2;
2021-10-23;0;19.1;14.6;12.5;82.9;15.1;4;
2021-10-24;34.2;18.8;14.5;11.3;77.9;11.6;2.6;
2021-10-25;0;23.4;15.5;6.4;67.8;11.7;3.7;
2021-10-26;0;26.9;19.5;10.3;54.4;7.1;2.6;
2021-10-27;1.6;27.4;19.7;11.3;49.6;11.3;4.7;
2021-10-28;0;26.6;19.2;14.1;76.5;11.9;5.6;
2021-10-29;0;28;19;14.8;75.6;13.6;5.7;
2021-10-30;4.4;26.5;19.1;14.5;73.5;13.8;6.5;
2021-10-31;0;22.8;18.3;15.9;77.7;11.8;5.9;
2021-11-01;0;26.6;18.7;14.6;75.7;12.4;5.6;
2021-11-02;0;26.8;20.6;15.3;69;10.4;4;
2021-11-03;0;27;19.3;16.2;82.5;9.8;4;
2021-11-04;13;27.5;21.3;16.2;75.2;8.9;2.4;
2021-11-05;0;29;22.3;17.4;76;8.5;3.4;
2021-11-06;.8;25.8;20.2;17.7;83.3;11.5;2.5;
2021-11-07;0;25.8;19.8;15.3;75.2;9.5;3.6;
2021-11-08;0;27.3;20.8;15.8;69.1;11.2;2.9;
2021-11-09;0;26.8;19.9;15.7;64.3;9.4;3.4;
2021-11-10;0;25.9;18.3;13.5;71.9;13.2;5.9;
2021-11-11;0;23.6;17;13.7;75.5;12.3;6.4;
2021-11-12;0;24.6;16.9;12.4;70.2;13;5.8;
2021-11-13;0;25.4;17.5;11.9;62.1;13.4;6.3;
2021-11-14;0;25.3;17;11;60.8;14.1;5.6;
2021-11-15;0;28.1;19.5;13;66.3;10.3;4.8;
2021-11-16;0;29.1;21;15;69;12.5;4.6;
2021-11-17;4.4;25;20.2;16.9;81.3;9.4;3.4;
2021-11-18;37.6;19.3;17.5;16.9;95.6;8.5;2.6;
2021-11-19;10.6;24.1;18.3;15.7;82.3;8.2;2.8;
2021-11-20;0;25.5;18.8;14.2;72.8;8.9;4.2;
2021-11-21;0;27.8;20.2;14.8;64.5;9;3.5;
2021-11-22;0;29.7;21.9;12.9;55.9;8.1;3;
2021-11-23;0;28.8;23.8;18.7;53.3;10.6;2.7;
2021-11-24;0;29.4;21.4;14.6;72;9.6;4.5;
2021-11-25;0;30.4;21.2;16;76.7;10.2;4.1;
2021-11-26;42.6;21.7;18.6;17;84.1;18.5;4.6;
2021-11-27;.8;24.3;18.8;15.6;81.6;8.9;2.5;
2021-11-28;0;26.3;20.4;13.6;75;11.2;3;
2021-11-29;0;24.4;19.5;16;63.9;13.4;4.4;
2021-11-30;0;24.7;18.5;12.1;63.8;12.9;2.8;
2021-12-01;0;26.4;19.6;12;57.6;7.8;2.7;
2021-12-02;0;27.5;20.5;15.5;68.1;11.2;3.6;
2021-12-03;0;25.2;18.4;14.2;74.2;12.6;6.4;
2021-12-04;0;27.8;19.7;14.6;67.3;12.3;4.8;
2021-12-05;0;28.4;20.1;16.2;75.7;13.2;4.7;
2021-12-06;4.4;26.6;18.3;15.4;82.5;15.8;3.4;
2021-12-07;3;22.2;16.8;13.2;77.4;12.1;5.1;
2021-12-08;0;24.1;16.3;9.2;62.7;12.7;4.8;
2021-12-09;0;25.6;17.9;11.1;62.1;10;3.8;
2021-12-10;0;27.6;20.1;12.7;61.1;9.8;3.5;
2021-12-11;0;29.1;20.7;13.9;65.6;13.5;3.2;
2021-12-12;9.8;28.5;21.2;16.2;70.5;7.6;2;
2021-12-13;.8;29.6;22.4;17.6;71.3;11.7;3.4;
2021-12-14;0;27;21.3;18.9;85;11.6;5.4;
2021-12-15;.6;30.2;23.6;18.9;76.4;10.7;3.6;
2021-12-16;0;32;24.9;19.3;71.7;11.7;3.5;
2021-12-17;0;31.2;23.8;18.3;67.5;9.9;3.5;
2021-12-18;0;27;20.9;16.6;75.7;13.3;6.1;
2021-12-19;0;27.4;20.4;16.9;72.5;13.6;6.2;
2021-12-20;0;31.5;21.7;13.5;63.6;10.2;4.1;
2021-12-21;.6;31.9;23.3;15.8;64.3;16.1;3.6;
2021-12-22;.4;29.6;22.5;17.2;68.9;12.9;4;
2021-12-23;0;26.6;19.1;10.9;59.8;11.4;4.3;
2021-12-24;0;28.3;19.3;11.2;57.2;13.3;4.8;
2021-12-25;0;29.5;21.3;12.9;57.7;10.4;3.6;
2021-12-26;0;30.6;21.3;13.9;62.7;13.6;3.2;
2021-12-27;3.8;30.2;22;14.2;59.2;10.3;3.2;
2021-12-28;0;31;22.5;13.4;50.8;9.4;3.7;
2021-12-29;0;30.1;22.1;16.2;66;14.1;5.7;
2021-12-30;0;27.8;20.2;15.9;75.8;13.7;5.7;
2021-12-31;10.4;28.8;20.7;14.8;69.6;8.5;3.6;
2022-01-01;0;32.2;23.6;16;59.4;8;2.7;
2022-01-02;0;31.1;23;17.6;67.8;14.1;3.9;
2022-01-03;49.8;26.7;21.3;16.3;75.3;11.5;2.6;
2022-01-04;0;25.4;20.3;18.1;85.7;9.9;3.5;
